species,Orden,Mean_brain_mass_g,Mean_body_mass_g,Fuentes,Body_for_3D
Lagothrix_lagotricha,Primates,89.35,3905,"Boddy et al., 2012",NA
Lagothrix_poeppigii,Primates,99.23,9072,"Isler et al., 2008",NA
Lagurus_lagurus,Rodentia,0.42,20.1,"Boddy et al., 2012",NA
Lampronycteris_brachyotis,Chiroptera,0.41,14.7,Scan,"Faurby et al., 2018"
Lariscus_insignis,Rodentia,4.37,200,"Isler & van Schaik, 2009",NA
Lasionycteris_noctivagans,Chiroptera,0.16,5.18,"Heldstab et al., 2018",NA
Lasiorhinus_latifrons,Diprotodontia,55.5,26000,"Ashwell, 2008; Weisbecker et al., 2015",NA
Lasiurus_borealis,Chiroptera,0.17,7.7,"Jones & MacLarnon, 2004",NA
Lasiurus_cinereus,Chiroptera,0.37,25.3,"Shi et al., 2018","Faurby et al., 2018"
Lasiurus_ega,Chiroptera,0.26,13.2,"Shi et al., 2018","Faurby et al., 2018"
Lasiurus_intermedius,Chiroptera,0.44,23,"Shi et al., 2018","Faurby et al., 2018"
Lasiurus_seminolus,Chiroptera,0.19,9.9,"Shi et al., 2018","Faurby et al., 2018"
Lavia_frons,Chiroptera,0.64,23.5,"Jones & MacLarnon, 2004",NA
Lemmus_lemmus,Rodentia,0.86,68.9,"Boddy et al., 2012",NA
Lemmus_sibiricus,Rodentia,1.49,70,"Stankowich & Romero, 2017",NA
Lemmus_trimucronatus,Rodentia,0.9,69.6,"Boddy et al., 2012",NA
Lemniscomys_striatus,Rodentia,0.85,46.2,"Boddy et al., 2012",NA
Lemur_catta,Primates,21.63,2090,"Boddy et al., 2012",NA
Leontopithecus_chrysomelas,Primates,11.84,655,"Isler et al., 2008",NA
Leontopithecus_rosalia,Primates,13.05,512.38,"Boddy et al., 2012",NA
Leopardus_geoffroyi,Carnivora,34,3590,"Finarelli & Flynn, 2009",NA
Leopardus_pardalis,Carnivora,63.1,9525.5,"Boddy et al., 2012",NA
Leopoldamys_edwardsi,Rodentia,4.81,332.1,"Isler & van Schaik, 2009",NA
Leopoldamys_sabanus,Rodentia,3.98,332.7,"Isler & van Schaik, 2009",NA
Leopoldamys_siporanus,Rodentia,3.39,332.7,"Boddy et al., 2012",NA
Lepilemur_dorsalis,Primates,6.7,870,"Isler et al., 2008",NA
Lepilemur_edwardsi,Primates,7.25,931,"Isler et al., 2008",NA
Lepilemur_leucopus,Primates,6.87,605.5,"Isler et al., 2008",NA
Lepilemur_microdon,Primates,9.75,970,"Isler et al., 2008",NA
Lepilemur_mustelinus,Primates,9.56,777,"Isler et al., 2008",NA
Lepilemur_ruficaudatus,Primates,8.25,804.5,"Isler et al., 2008",NA
Leptailurus_serval,Carnivora,54.1,11340,"Boddy et al., 2012",NA
Leptonychotes_weddellii,Carnivora,564.17,378666.67,"Boddy et al., 2012",NA
Leptonycteris_curasoae,Chiroptera,0.59,25,"Jones & MacLarnon, 2004",NA
Leptonycteris_nivalis,Chiroptera,0.59,22.9,"Jones & MacLarnon, 2004",NA
Leptonycteris_yerbabuenae,Chiroptera,0.52,20,"Shi et al., 2018","Faurby et al., 2018"
Lepus_alleni,Lagomorpha,14.29,3930,"Heldstab et al., 2018",NA
Lepus_americanus,Lagomorpha,9.72,1500,"Boddy et al., 2012",NA
Lepus_arcticus,Lagomorpha,15.8,4231,"Boddy et al., 2012",NA
Lepus_californicus,Lagomorpha,13.23,2314.9,"Boddy et al., 2012",NA
Lepus_capensis,Lagomorpha,10.78,2412.5,"Boddy et al., 2012",NA
Lepus_europaeus,Lagomorpha,14.35,1954,"Boddy et al., 2012",NA
Lepus_flavigularis,Lagomorpha,11.13,2500,"Heldstab et al., 2018",NA
Lepus_mandshuricus,Lagomorpha,11.38,1834.05,"Heldstab et al., 2018",NA
Lepus_nigricollis,Lagomorpha,11.49,1961,"Boddy et al., 2012",NA
Lepus_oiostolus,Lagomorpha,12.69,2468.55,"Heldstab et al., 2018",NA
Lepus_saxatilis,Lagomorpha,11,2593.63,"Heldstab et al., 2018",NA
Lepus_sinensis,Lagomorpha,9.25,1607.41,"Heldstab et al., 2018",NA
Lepus_timidus,Lagomorpha,15.1,3274.5,"Boddy et al., 2012",NA
Lepus_townsendii,Lagomorpha,12.54,3371.64,"Heldstab et al., 2018",NA
Lepus_victoriae,Lagomorpha,10.25,1763.61,"Heldstab et al., 2018",NA
Limnogale_mergulus,Afrosoricida,1.15,92,"Boddy et al., 2012",NA
Lionycteris_spurrelli,Chiroptera,0.35,7.55,"Jones & MacLarnon, 2004",NA
Lipotes_vexillifer,Cetacea,558,180000,"Montgomery et al., 2013",NA
Lissodelphis_borealis,Cetacea,1162,73000,"Montgomery et al., 2013",NA
Lissonycteris_angolensis,Chiroptera,1.76,84.15,"Jones & MacLarnon, 2004",NA
Litocranius_walleri,Artiodactyla,117.5,39750,"Isler & van Schaik, 2012",NA
Lobodon_carcinophaga,Carnivora,586.25,222250,"Boddy et al., 2012",NA
Lonchophylla_handleyi,Chiroptera,0.51,18.5,"Shi et al., 2018","Faurby et al., 2018"
Lonchophylla_mordax,Chiroptera,0.43,10.7,"Jones & MacLarnon, 2004",NA
Lonchophylla_robusta,Chiroptera,0.55,17.2,"Shi et al., 2018","Faurby et al., 2018"
Lonchophylla_thomasi,Chiroptera,0.34,7.2,"Jones & MacLarnon, 2004",NA
Lonchorhina_aurita,Chiroptera,0.38,18,"Jones & MacLarnon, 2004",NA
Lontra_canadensis,Carnivora,50.5,7850,"Isler & van Schaik, 2012",NA
Lontra_felina,Carnivora,38.9,4000,"Isler & van Schaik, 2012",NA
Lontra_longicaudis,Carnivora,57.4,8000,"Isler & van Schaik, 2012",NA
Lophocebus_albigena,Primates,96.8,5125,"Boddy et al., 2012",NA
Lophocebus_aterrimus,Primates,101.59,6800,"Isler et al., 2008",NA
Lophostoma_brasiliense,Chiroptera,0.26,9.4,"Shi et al., 2018","Faurby et al., 2018"
Lophostoma_carrikeri,Chiroptera,0.58,20.9,"Shi et al., 2018","Faurby et al., 2018"
Lophostoma_schulzi,Chiroptera,0.55,18.2,"Shi et al., 2018","Faurby et al., 2018"
Lophostoma_silvicolum,Chiroptera,0.8,32.3,"Jones & MacLarnon, 2004",NA
Lophuromys_flavopunctatus,Rodentia,1.01,60,"Boddy et al., 2012",NA
Lophuromys_sikapusi,Rodentia,1.13,60.7,"Boddy et al., 2012",NA
Loris_lydekkerianus,Primates,6.3,267,"Isler & van Schaik, 2012",NA
Loris_tardigradus,Primates,6,322,"Boddy et al., 2012",NA
Loxodonta_africana,Proboscidea,5436.4,4301340,"Boddy et al., 2012",NA
Lutra_lutra,Carnivora,39,6750,"Isler & van Schaik, 2012",NA
Lutreolina_crassicaudata,Didelphimorphia,3.41,504,"Stankowich & Romero, 2017",NA
Lutrogale_perspicillata,Carnivora,61,7300,"Isler & van Schaik, 2012",NA
Lycalopex_culpaeus,Carnivora,51.4,8840,"Isler & van Schaik, 2012",NA
Lycalopex_griseus,Carnivora,42.47,4324,"Perez-Barbería et al., 2007",NA
Lycalopex_gymnocercus,Carnivora,40,4350,"Isler & van Schaik, 2012",NA
Lycaon_pictus,Carnivora,129,22050,"Isler & van Schaik, 2012",NA
Lynx_canadensis,Carnivora,69.5,14969,"Boddy et al., 2012",NA
Lynx_lynx,Carnivora,68.5,17200,"Isler & van Schaik, 2012",NA
Lynx_rufus,Carnivora,65,6350,"Boddy et al., 2012",NA
Macaca_arctoides,Primates,100.7,7630,"Boddy et al., 2012",NA
Macaca_assamensis,Primates,90.5,3655,"Boddy et al., 2012",NA
Macaca_cyclopis,Primates,82,5470,"Isler et al., 2008",NA
Macaca_fascicularis,Primates,66.93,3109.45,"Boddy et al., 2012",NA
Macaca_fuscata,Primates,96.8,8030,"Isler & van Schaik, 2012",NA
Macaca_hecki,Primates,94.6,6800,"van Woerden et al., 2011",NA
Macaca_leonina,Primates,85.6,5641.58,"Isler et al., 2008",NA
Macaca_maura,Primates,94.48,6846,"Boddy et al., 2012",NA
Macaca_mulatta,Primates,87.99,4612.78,"Boddy et al., 2012",NA
Macaca_nemestrina,Primates,110,4456,"Boddy et al., 2012",NA
Macaca_nigra,Primates,97.5,3452,"Boddy et al., 2012",NA
Macaca_ochreata,Primates,97.98,3400,"Isler et al., 2008",NA
Macaca_radiata,Primates,69.4,3856,"Isler & van Schaik, 2012",NA
Macaca_silenus,Primates,85,7500,"Isler et al., 2008",NA
Macaca_sinica,Primates,58.15,1970,"Boddy et al., 2012",NA
Macaca_sylvanus,Primates,87.7,11200,"Boddy et al., 2012",NA
Macaca_tonkeana,Primates,93.7,9000,"Heldstab et al., 2016; Heldstab et al., 2018",NA
Macroderma_gigas,Chiroptera,1.7,120,"Jones & MacLarnon, 2004",NA
Macroglossus_minimus,Chiroptera,0.61,17.03,"Jones & MacLarnon, 2004",NA
Macroglossus_sobrinus,Chiroptera,0.69,21.7,"Jones & MacLarnon, 2004",NA
Macrophyllum_macrophyllum,Chiroptera,0.32,8.6,"Jones & MacLarnon, 2004",NA
Macropus_agilis,Diprotodontia,33.3,15000,"Ashwell, 2008; Weisbecker et al., 2015",NA
Macropus_antilopinus,Diprotodontia,56.8,27250,"Ashwell, 2008; Weisbecker et al., 2015",NA
Macropus_dorsalis,Diprotodontia,29.2,11250,"Ashwell, 2008; Weisbecker et al., 2015",NA
Macropus_eugenii,Diprotodontia,23.7,6500,"Ashwell, 2008; Weisbecker et al., 2015",NA
Macropus_fuliginosus,Diprotodontia,58,28850,"Ashwell, 2008; Weisbecker et al., 2015",NA
Macropus_giganteus,Diprotodontia,69.8,26400,"Ashwell, 2008; Weisbecker et al., 2015",NA
Macropus_irma,Diprotodontia,24.7,8000,"Ashwell, 2008; Weisbecker et al., 2015",NA
Macropus_parma,Diprotodontia,18.7,4275,"Ashwell, 2008; Weisbecker et al., 2015",NA
Macropus_parryi,Diprotodontia,41.3,13500,"Ashwell, 2008; Weisbecker et al., 2015",NA
Macropus_robustus,Diprotodontia,59,21200,"Ashwell, 2008; Weisbecker et al., 2015",NA
Macropus_rufogriseus,Diprotodontia,36,16200,"Ashwell, 2008; Weisbecker et al., 2015",NA
Macropus_rufus,Diprotodontia,62.4,46250,"Ashwell, 2008; Weisbecker et al., 2015",NA
Macrotis_lagotis,Peramelemorphia,6.57,1800,"Ashwell, 2008; Weisbecker et al., 2015",NA
Macrotus_californicus,Chiroptera,0.39,13,"Stankowich & Romero, 2017",NA
Macrotus_waterhousii,Chiroptera,0.42,12.8,"Shi et al., 2018","Faurby et al., 2018"
Madoqua_kirkii,Artiodactyla,37,4570,"Boddy et al., 2012",NA
Madoqua_saltiana,Artiodactyla,23.25,5000,"Heldstab et al., 2018",NA
Makalata_didelphoides,Rodentia,3.45,108,"Stankowich & Romero, 2017",NA
Makalata_macrura,Rodentia,3.89,439,"Stankowich & Romero, 2017",NA
Malacomys_edwardsi,Rodentia,1.18,60,"Boddy et al., 2012",NA
Malacomys_longipes,Rodentia,1.44,72.25,"Isler & van Schaik, 2009",NA
Mandrillus_leucophaeus,Primates,148,15000,"Isler et al., 2008",NA
Mandrillus_sphinx,Primates,159.2,11500,"Boddy et al., 2012",NA
Manis_javanica,Pholidota,13.7,5150,"Isler & van Schaik, 2012",NA
Manis_pentadactyla,Pholidota,17.64,4675,"Stankowich & Romero, 2017",NA
Marmosa_mexicana,Didelphimorphia,1,49.5,"Ashwell, 2008; Weisbecker et al., 2015",NA
Marmosa_murina,Didelphimorphia,1.1,45,"Ashwell, 2008; Weisbecker et al., 2015",NA
Marmosa_robinsoni,Didelphimorphia,0.7,60,"Ashwell, 2008; Weisbecker et al., 2015",NA
Marmosa_rubra,Didelphimorphia,1.2,61,"Ashwell, 2008; Weisbecker et al., 2015",NA
Marmota_baibacina,Rodentia,13.75,5375,"Mateju, 2016",NA
Marmota_bobak,Rodentia,12.56,4922,"Mateju, 2016",NA
Marmota_broweri,Rodentia,13.94,3405,"Mateju, 2016",NA
Marmota_caligata,Rodentia,14.63,6300,"Mateju, 2016",NA
Marmota_camtschatica,Rodentia,12.63,3314.5,"Mateju, 2016",NA
Marmota_caudata,Rodentia,14.28,4242,"Mateju, 2016",NA
Marmota_flaviventris,Rodentia,12.27,3350.5,"Mateju, 2016",NA
Marmota_himalayana,Rodentia,16.71,6607.5,"Mateju, 2016",NA
Marmota_marmota,Rodentia,14.25,3813.65,"Mateju, 2016",NA
Marmota_menzbieri,Rodentia,11.4,3015,"Mateju, 2016",NA
Marmota_monax,Rodentia,14.19,2804.5,"Mateju, 2016",NA
Marmota_olympus,Rodentia,15.43,3478.8,"Mateju, 2016",NA
Marmota_sibirica,Rodentia,13.74,6500,"Mateju, 2016",NA
Marmota_vancouverensis,Rodentia,13.68,4250,"Mateju, 2016",NA
Martes_americana,Carnivora,15.8,860,"Gittleman, 1986",NA
Martes_flavigula,Carnivora,34.12,2510,"Gittleman, 1986",NA
Martes_foina,Carnivora,20.9,1450,"Isler & van Schaik, 2012",NA
Martes_martes,Carnivora,18,982,"Isler & van Schaik, 2012",NA
Martes_pennanti,Carnivora,29,2250,"Isler & van Schaik, 2012",NA
Martes_zibellina,Carnivora,18.5,1130,"Isler & van Schaik, 2012",NA
Massoutiera_mzabi,Rodentia,2.32,182.6,"Boddy et al., 2012",NA
Mastomys_natalensis,Rodentia,0.72,46.03,"Barton & Capellini, 2011",NA
Maxomys_rajah,Rodentia,1.92,150.5,"Isler & van Schaik, 2009",NA
Maxomys_surifer,Rodentia,1.98,173.5,"Isler & van Schaik, 2009",NA
Maxomys_whiteheadi,Rodentia,1.03,51.95,"Isler & van Schaik, 2009",NA
Mazama_americana,Artiodactyla,56,3500,"Perez-Barbería et al., 2007",NA
Megaderma_lyra,Chiroptera,0.89,35.3,"Jones & MacLarnon, 2004",NA
Megaderma_spasma,Chiroptera,0.67,23.8,"Jones & MacLarnon, 2004",NA
Megadontomys_thomasi,Rodentia,1.26,111,"Boddy et al., 2012",NA
Megaerops_ecaudatus,Chiroptera,0.82,24.67,"Jones & MacLarnon, 2004",NA
Megaerops_niphanae,Chiroptera,0.96,32.6,"Jones & MacLarnon, 2004",NA
Megaloglossus_woermanni,Chiroptera,0.68,18,"Jones & MacLarnon, 2004",NA
Megaptera_novaeangliae,Cetacea,6100,30050000,"Boddy et al., 2012",NA
Meles_meles,Carnivora,45.5,10100,"Isler & van Schaik, 2012",NA
Mellivora_capensis,Carnivora,72.97,8080,"Gittleman, 1986",NA
Melogale_moschata,Carnivora,15.61,810,"Finarelli & Flynn, 2009",NA
Melogale_personata,Carnivora,61.4,14042,"Perez-Barbería et al., 2007",NA
Melomys_cervinipes,Rodentia,1.31,70,"Boddy et al., 2012",NA
Melomys_rufescens,Rodentia,1.29,54.7,"Boddy et al., 2012",NA
Melonycteris_melanops,Chiroptera,1.29,47.45,"Jones & MacLarnon, 2004",NA
Melonycteris_woodfordi,Chiroptera,1.02,35.5,"Jones & MacLarnon, 2004",NA
Melursus_ursinus,Carnivora,267,136080,"Boddy et al., 2012",NA
Mephitis_macroura,Carnivora,10.43,1030,"Finarelli & Flynn, 2009",NA
Mephitis_mephitis,Carnivora,10.15,1980,"Boddy et al., 2012",NA
Meriones_hurrianae,Rodentia,0.97,71.3,"Boddy et al., 2012",NA
Meriones_persicus,Rodentia,2.05,100,Scan,"Faurby et al., 2018"
Meriones_rex,Rodentia,2.02,125.3,Scan,"Faurby et al., 2018"
Meriones_unguiculatus,Rodentia,1.13,57.4,"Boddy et al., 2012",NA
Mesechinus_dauuricus,Eulipotyphla,2.9,342,"Stankowich & Romero, 2017",NA
Mesembriomys_gouldii,Rodentia,4.59,1110,"Boddy et al., 2012",NA
Mesocapromys_nanus,Rodentia,3.91,414.9,Scan,"Faurby et al., 2018"
Mesocricetus_auratus,Rodentia,1,120,"Burger et al., 2019",NA
Mesocricetus_raddei,Rodentia,1.51,260,Scan,"Faurby et al., 2018"
Mesomys_hispidus,Rodentia,2.64,175,"Stankowich & Romero, 2017",NA
Mesophylla_macconnelli,Chiroptera,0.34,7.55,"Jones & MacLarnon, 2004",NA
Mesoplodon_densirostris,Cetacea,1424.5,770500,"Montgomery et al., 2013",NA
Mesoplodon_europaeus,Cetacea,2149,732500,"Montgomery et al., 2013",NA
Mesoplodon_mirus,Cetacea,2355,929500,"Montgomery et al., 2013",NA
Metachirus_nudicaudatus,Didelphimorphia,3.5,300,"Ashwell, 2008; Weisbecker et al., 2015",NA
Mico_argentatus,Primates,8,345,"Isler & van Schaik, 2012",NA
Mico_humeralifer,Primates,8.2,370,"Isler et al., 2008",NA
Microcavia_australis,Rodentia,3.12,286.1,Scan,"Faurby et al., 2018"
Microcebus_murinus,Primates,1.84,58,"Boddy et al., 2012",NA
Microcebus_rufus,Primates,1.72,42.5,"Isler et al., 2008",NA
Microdipodops_megacephalus,Rodentia,0.56,13.85,"Boddy et al., 2012",NA
Microdipodops_pallidus,Rodentia,0.55,12.9,"Boddy et al., 2012",NA
Microgale_cowani,Afrosoricida,0.42,15.2,"Boddy et al., 2012",NA
Microgale_dobsoni,Afrosoricida,0.56,32.6,"Boddy et al., 2012",NA
Microgale_talazaci,Afrosoricida,0.79,50.4,"Boddy et al., 2012",NA
Micromys_minutus,Rodentia,0.29,6.4,"Boddy et al., 2012",NA
Micronycteris_brosseti,Chiroptera,0.24,4.8,"Shi et al., 2018","Faurby et al., 2018"
Micronycteris_hirsuta,Chiroptera,0.41,12,"Shi et al., 2018","Faurby et al., 2018"
Micronycteris_matses,Chiroptera,0.31,10.7,"Shi et al., 2018","Faurby et al., 2018"
Micronycteris_megalotis,Chiroptera,0.27,6.5,"Jones & MacLarnon, 2004",NA
Micronycteris_microtis,Chiroptera,0.27,5.6,"Shi et al., 2018","Faurby et al., 2018"
Micronycteris_minuta,Chiroptera,0.29,6.9,"Jones & MacLarnon, 2004",NA
Micronycteris_schmidtorum,Chiroptera,0.31,7.8,"Jones & MacLarnon, 2004",NA
Microperoryctes_longicauda,Peramelemorphia,3.81,538,"Ashwell, 2008; Weisbecker et al., 2015",NA
Micropotamogale_lamottei,Afrosoricida,0.8,69.59,"Patzke et al., 2013; Jones et al., 2009",NA
Micropteropus_pusillus,Chiroptera,0.82,25.2,"Jones & MacLarnon, 2004",NA
Microtus_agrestis,Rodentia,0.74,32.4,"Boddy et al., 2012",NA
Microtus_arvalis,Rodentia,0.55,30.4,"Boddy et al., 2012",NA
Microtus_californicus,Rodentia,0.78,43.3,"Boddy et al., 2012",NA
Microtus_guentheri,Rodentia,0.69,51.3,"Boddy et al., 2012",NA
Microtus_longicaudus,Rodentia,0.7,47.4,"Boddy et al., 2012",NA
Microtus_mexicanus,Rodentia,0.54,35,"Isler & van Schaik, 2009",NA
Microtus_montanus,Rodentia,0.69,39.7,"Boddy et al., 2012",NA
Microtus_ochrogaster,Rodentia,0.71,43.8,"Boddy et al., 2012",NA
Microtus_oregoni,Rodentia,0.52,22,"Boddy et al., 2012",NA
Microtus_pennsylvanicus,Rodentia,0.74,30.13,"Boddy et al., 2012",NA
Microtus_pinetorum,Rodentia,0.56,24.9,"Boddy et al., 2012",NA
Microtus_townsendii,Rodentia,0.88,45.8,"Boddy et al., 2012",NA
Mimon_cozumelae,Chiroptera,0.65,12.4,"Shi et al., 2018","Faurby et al., 2018"
Mimon_crenulatum,Chiroptera,0.33,13.78,"Jones & MacLarnon, 2004",NA
Miniopterus_australis,Chiroptera,0.17,7.1,"Jones & MacLarnon, 2004",NA
Miniopterus_fuscus,Chiroptera,0.27,11.4,"Jones & MacLarnon, 2004",NA
Miniopterus_inflatus,Chiroptera,0.33,15.05,"Jones & MacLarnon, 2004",NA
Miniopterus_magnater,Chiroptera,0.32,15,"Jones & MacLarnon, 2004",NA
Miniopterus_medius,Chiroptera,0.27,11.71,"Burger et al., 2019",NA
Miniopterus_pusillus,Chiroptera,0.22,8.6,"Jones & MacLarnon, 2004",NA
Miniopterus_schreibersii,Chiroptera,0.27,11.78,"Jones & MacLarnon, 2004",NA
Miniopterus_tristis,Chiroptera,0.33,15.6,"Jones & MacLarnon, 2004",NA
Miopithecus_ogouensis,Primates,37.35,1750,"Isler et al., 2008",NA
Miopithecus_talapoin,Primates,34.8,1560,"Isler & van Schaik, 2012",NA
Mirounga_angustirostris,Carnivora,670,700000,"Isler & van Schaik, 2012",NA
Mirounga_leonina,Carnivora,1205,2006500,"Boddy et al., 2012",NA
Mirza_coquereli,Primates,5.8,311.5,"Isler et al., 2008",NA
Molossops_temminckii,Chiroptera,0.18,6.8,"Burger et al., 2019",NA
Molossus_molossus,Chiroptera,0.28,13.23,"Jones & MacLarnon, 2004",NA
Molossus_rufus,Chiroptera,0.53,33.6,"Jones & MacLarnon, 2004",NA
Molossus_sinaloae,Chiroptera,0.44,19.2,"Jones & MacLarnon, 2004",NA
Monachus_monachus,Carnivora,480,280500,"Boddy et al., 2012",NA
Monodelphis_brevicaudata,Didelphimorphia,0.9,70,"Ashwell, 2008; Weisbecker et al., 2015",NA
Monodon_monoceros,Cetacea,2993.7,1578330,"Montgomery et al., 2013",NA
Monophyllus_plethodon,Chiroptera,0.41,14.9,"Jones & MacLarnon, 2004",NA
Monophyllus_redmani,Chiroptera,0.38,8.7,"Shi et al., 2018","Faurby et al., 2018"
Mops_condylurus,Chiroptera,0.42,26.65,"Jones & MacLarnon, 2004",NA
Mops_leucostigma,Chiroptera,0.39,26.79,"Patzke et al., 2013; Jones et al., 2009",NA
Mops_midas,Chiroptera,0.62,45.2,"Shi et al., 2018","Faurby et al., 2018"
Mops_mops,Chiroptera,0.47,30.95,"Jones & MacLarnon, 2004",NA
Mops_niveiventer,Chiroptera,0.43,21.7,"Jones & MacLarnon, 2004",NA
Mormoops_blainvillei,Chiroptera,0.22,8.6,"Shi et al., 2018","Faurby et al., 2018"
Mormoops_megalophylla,Chiroptera,0.4,15.53,"Jones & MacLarnon, 2004",NA
Mormopterus_acetabulosus,Chiroptera,0.13,14.1,"Shi et al., 2018","Faurby et al., 2018"
Mormopterus_beccarii,Chiroptera,0.23,14.2,"Jones & MacLarnon, 2004",NA
Mormopterus_jugularis,Chiroptera,0.22,11.5,"Jones & MacLarnon, 2004",NA
Mormopterus_planiceps,Chiroptera,0.13,8.8,"Shi et al., 2018","Faurby et al., 2018"
Moschiola_meminna,Artiodactyla,16.93,1997,"Boddy et al., 2012",NA
Mosia_nigrescens,Chiroptera,0.12,3.7,"Pitnick et al., 2006",NA
Mungos_mungo,Carnivora,10.5,860,"Isler & van Schaik, 2012",NA
Muntiacus_muntjak,Artiodactyla,124.5,16600,"Isler & van Schaik, 2012",NA
Muntiacus_reevesi,Artiodactyla,70.17,13499.94,"Heldstab et al., 2018",NA
Murexia_longicaudata,Dasyuromorphia,1.68,78,"Ashwell, 2008; Weisbecker et al., 2015",NA
Murexia_melanurus,Dasyuromorphia,0.7,31,"Ashwell, 2008; Weisbecker et al., 2015",NA
Murexia_naso,Dasyuromorphia,0.8,48.5,"Ashwell, 2008; Weisbecker et al., 2015",NA
Murexia_rothschildi,Dasyuromorphia,1.09,62,"Boddy et al., 2012",NA
Murina_aurata,Chiroptera,0.16,7.3,"Shi et al., 2018","Faurby et al., 2018"
Murina_cyclotis,Chiroptera,0.27,7.88,"Jones & MacLarnon, 2004",NA
Murina_huttoni,Chiroptera,0.26,8.8,"Jones & MacLarnon, 2004",NA
Murina_tubinaris,Chiroptera,0.22,5.45,"Jones & MacLarnon, 2004",NA
Mus_booduga,Rodentia,0.31,14.6,"Boddy et al., 2012",NA
Mus_minutoides,Rodentia,0.27,5.5,"Isler & van Schaik, 2006",NA
Mus_musculus,Rodentia,0.4,15.1,"Isler & van Schaik, 2012",NA
Mus_platythrix,Rodentia,0.5,29.2,"Boddy et al., 2012",NA
Mus_triton,Rodentia,0.43,11.5,"Isler & van Schaik, 2009",NA
Musonycteris_harrisoni,Chiroptera,0.45,11.8,"Shi et al., 2018","Faurby et al., 2018"
Mustela_altaica,Carnivora,4.48,190,"Gittleman, 1986",NA
Mustela_erminea,Carnivora,4.57,156.43,"Boddy et al., 2012",NA
Mustela_frenata,Carnivora,4,165,"Isler & van Schaik, 2012",NA
Mustela_kathiah,Carnivora,4.57,210,"Finarelli & Flynn, 2009",NA
Mustela_lutreola,Carnivora,8.5,590,"Gittleman, 1986",NA
Mustela_lutreolina,Carnivora,8.5,538,"Isler & van Schaik, 2012",NA
Mustela_nigripes,Carnivora,8.5,809,"Isler & van Schaik, 2012",NA
Mustela_nivalis,Carnivora,2,60,"Isler & van Schaik, 2012",NA
Mustela_putorius,Carnivora,7.87,915,"Boddy et al., 2012",NA
Mustela_sibirica,Carnivora,6,395,"Isler & van Schaik, 2012",NA
Mydaus_javanensis,Carnivora,19.49,2510,"Gittleman, 1986",NA
Mydaus_marchei,Carnivora,14.87,1414,"Stankowich & Romero, 2017",NA
Myocastor_coypus,Rodentia,17.09,7052,"Boddy et al., 2012",NA
Myodes_gapperi,Rodentia,0.56,16.9,"Boddy et al., 2012",NA
Myodes_glareolus,Rodentia,0.52,17.9,"Boddy et al., 2012",NA
Myodes_rufocanus,Rodentia,0.61,38.3,"Boddy et al., 2012",NA
Myodes_rutilus,Rodentia,0.56,17.6,"Boddy et al., 2012",NA
Myoictis_melas,Dasyuromorphia,2.05,91,"Ashwell, 2008; Weisbecker et al., 2015",NA
Myonycteris_torquata,Chiroptera,1.12,36.4,"Jones & MacLarnon, 2004",NA
Myoprocta_acouchy,Rodentia,10.93,1250,"Mace et al., 1981",NA
Myopterus_daubentonii,Chiroptera,0.45,28.4,"Shi et al., 2018","Faurby et al., 2018"
Myopus_schisticolor,Rodentia,0.56,33.5,"Boddy et al., 2012",NA
Myotis_adversus,Chiroptera,0.25,11.25,"Jones & MacLarnon, 2004",NA
Myotis_albescens,Chiroptera,0.13,4,"Jones & MacLarnon, 2004",NA
Myotis_altarium,Chiroptera,0.24,11,"Jones & MacLarnon, 2004",NA
Myotis_annectans,Chiroptera,0.22,9.8,"Jones & MacLarnon, 2004",NA
Myotis_auriculus,Chiroptera,0.18,5,"Shi et al., 2018","Faurby et al., 2018"
Myotis_austroriparius,Chiroptera,0.16,6.8,"Shi et al., 2018","Faurby et al., 2018"
Myotis_bechsteinii,Chiroptera,0.26,9,"Jones & MacLarnon, 2004",NA
Myotis_bocagii,Chiroptera,0.2,7.3,"Jones & MacLarnon, 2004",NA
Myotis_californicus,Chiroptera,0.11,4.6,"Shi et al., 2018","Faurby et al., 2018"
Myotis_chiloensis,Chiroptera,0.15,6.8,"Shi et al., 2018","Faurby et al., 2018"
Myotis_ciliolabrum,Chiroptera,0.1,4.9,"Shi et al., 2018","Faurby et al., 2018"
Myotis_dasycneme,Chiroptera,0.31,15,"Jones & MacLarnon, 2004",NA
Myotis_daubentonii,Chiroptera,0.23,7.75,"Jones & MacLarnon, 2004",NA
Myotis_elegans,Chiroptera,0.11,4.1,"Shi et al., 2018","Faurby et al., 2018"
Myotis_emarginatus,Chiroptera,0.21,7.7,"Shi et al., 2018","Faurby et al., 2018"
Myotis_formosus,Chiroptera,0.27,7,"Shi et al., 2018","Faurby et al., 2018"
Myotis_fortidens,Chiroptera,0.13,4.35,"Jones & MacLarnon, 2004",NA
Myotis_grisescens,Chiroptera,0.18,10.5,"Shi et al., 2018","Faurby et al., 2018"
Myotis_hasseltii,Chiroptera,0.19,7.5,"Jones & MacLarnon, 2004",NA
Myotis_horsfieldii,Chiroptera,0.2,6.3,"Jones & MacLarnon, 2004",NA
Myotis_keenii,Chiroptera,0.06,6.3,"Shi et al., 2018","Faurby et al., 2018"
Myotis_lucifugus,Chiroptera,0.16,8,"Jones & MacLarnon, 2004",NA
Myotis_macrotarsus,Chiroptera,0.31,12.5,"Shi et al., 2018","Faurby et al., 2018"
