species,Orden,Mean_brain_mass_g,Mean_body_mass_g,Fuentes,Body_for_3D
Eulemur_fulvus,Primates,25.8,2292,"Isler & van Schaik, 2012",NA
Eulemur_macaco,Primates,22.6,2086.17,"Boddy et al., 2012",NA
Eulemur_mongoz,Primates,24.03,1559.33,"Boddy et al., 2012",NA
Eulemur_rubriventer,Primates,24.9,1015,"Boddy et al., 2012",NA
Eulemur_rufus,Primates,25.4,2220,"Isler et al., 2008",NA
Eulemur_sanfordi,Primates,21.25,2094.17,"Heldstab et al., 2016; Heldstab et al., 2018",NA
Eumetopias_jubatus,Carnivora,661.25,643775,"Boddy et al., 2012",NA
Eumops_auripendulus,Chiroptera,0.61,33.8,"Jones & MacLarnon, 2004",NA
Eumops_bonariensis,Chiroptera,0.33,11.9,"Shi et al., 2018","Faurby et al., 2018"
Eumops_glaucinus,Chiroptera,0.66,36.85,"Jones & MacLarnon, 2004",NA
Eumops_patagonicus,Chiroptera,0.26,10,"Shi et al., 2018","Faurby et al., 2018"
Eumops_perotis,Chiroptera,0.8,47.5,"Jones & MacLarnon, 2004",NA
Eumops_underwoodi,Chiroptera,0.84,54.7,"Shi et al., 2018","Faurby et al., 2018"
Euoticus_elegantulus,Primates,5.53,274,"Isler et al., 2008",NA
Euoticus_pallidus,Primates,5.19,300,"Isler et al., 2008",NA
Euphractus_sexcinctus,Xenarthra,33.5,7990,"Boddy et al., 2012",NA
Eupleres_goudotii,Carnivora,17,1850,"Isler & van Schaik, 2012",NA
Euryzygomatomys_spinosus,Rodentia,3.4,187.5,Scan,"Faurby et al., 2018"
Felis_chaus,Carnivora,37,5050,"Isler & van Schaik, 2012",NA
Felis_nigripes,Carnivora,20.1,1100,"Isler & van Schaik, 2012",NA
Felis_silvestris,Carnivora,35.5,4130,"Isler & van Schaik, 2012",NA
Felovia_vae,Rodentia,2.31,186,"Isler & van Schaik, 2009; Heldstab et al., 2018",NA
Feresa_attenuata,Cetacea,1144.25,170000,"Ridway et al., 2017; Faurby et al., 2018",NA
Fossa_fossana,Carnivora,19.69,1500,"Finarelli & Flynn, 2009",NA
Funambulus_pennantii,Rodentia,2.1,85.9,"Boddy et al., 2012",NA
Funisciurus_anerythrus,Rodentia,4.14,218,"Boddy et al., 2012",NA
Funisciurus_carruthersi,Rodentia,4.48,268,"Boddy et al., 2012",NA
Funisciurus_pyrropus,Rodentia,4.38,200,"Boddy et al., 2012",NA
Furipterus_horrens,Chiroptera,0.13,3.43,"Jones & MacLarnon, 2004",NA
Galago_matschiei,Primates,4.62,209.5,"Isler et al., 2008",NA
Galago_moholi,Primates,3.71,148.38,"Isler et al., 2008",NA
Galago_senegalensis,Primates,5.9,300.33,"Boddy et al., 2012",NA
Galagoides_demidoff,Primates,3.38,81,"Boddy et al., 2012",NA
Galagoides_granti,Primates,4.07,181.85,"Isler et al., 2008",NA
Galagoides_orinus,Primates,2.73,97,"Isler et al., 2008; Faurby et al., 2018",NA
Galagoides_thomasi,Primates,3.12,116.5,"Isler et al., 2008",NA
Galagoides_zanzibaricus,Primates,3.5,143,"Isler & van Schaik, 2012",NA
Galea_musteloides,Rodentia,2.72,375,"Boddy et al., 2012",NA
Galemys_pyrenaicus,Eulipotyphla,1.33,57.5,"Boddy et al., 2012",NA
Galeopterus_variegatus,Dermoptera,7.16,1375,"Isler & van Schaik, 2009",NA
Galictis_cuja,Carnivora,18.8,1190,"Perez-Barbería et al., 2007",NA
Galictis_vittata,Carnivora,17.97,1328,"Perez-Barbería et al., 2007",NA
Galidia_elegans,Carnivora,10.7,914,"Isler & van Schaik, 2012",NA
Gazella_dorcas,Artiodactyla,70.8,17275,"Isler & van Schaik, 2012",NA
Gazella_gazella,Artiodactyla,76.43,21306.83,"Heldstab et al., 2018",NA
Genetta_angolensis,Carnivora,15.49,2100,"Gittleman, 1986",NA
Genetta_genetta,Carnivora,14,1820,"Isler & van Schaik, 2012",NA
Genetta_pardina,Carnivora,15.4,1032,"Burger et al., 2019",NA
Genetta_servalina,Carnivora,16,1295,"Perez-Barbería et al., 2007",NA
Genetta_tigrina,Carnivora,15.35,1525,"Boddy et al., 2012",NA
Geocapromys_brownii,Rodentia,7.6,1500,Scan,"Faurby et al., 2018"
Geocapromys_ingrahami,Rodentia,4.46,717.3,"Boddy et al., 2012",NA
Geomys_breviceps,Rodentia,2.29,138.8,"Stankowich & Romero, 2017",NA
Geomys_bursarius,Rodentia,1.83,197.25,"Boddy et al., 2012",NA
Geomys_pinetis,Rodentia,2.51,313.5,"Boddy et al., 2012",NA
Georychus_capensis,Rodentia,2.63,232.7,Scan,"Faurby et al., 2018"
Gerbilliscus_afra,Rodentia,1.56,65,"Boddy et al., 2012",NA
Gerbilliscus_brantsii,Rodentia,1.56,91.7,"Boddy et al., 2012",NA
Gerbilliscus_leucogaster,Rodentia,1.22,72.8,Scan,"Faurby et al., 2018"
Gerbilliscus_nigricaudus,Rodentia,2.23,123,Scan,"Faurby et al., 2018"
Gerbilliscus_phillipsi,Rodentia,1.5,62.9,Scan,"Faurby et al., 2018"
Gerbilliscus_robustus,Rodentia,1.5,96,Scan,"Faurby et al., 2018"
Gerbillurus_paeba,Rodentia,0.84,24,"Boddy et al., 2012",NA
Gerbillus_campestris,Rodentia,0.9,27.5,"Boddy et al., 2012",NA
Gerbillus_dasyurus,Rodentia,1.32,20.5,"Boddy et al., 2012",NA
Gerbillus_gleadowi,Rodentia,0.69,26.1,"Boddy et al., 2012",NA
Gerbillus_nanus,Rodentia,0.6,14,"Boddy et al., 2012",NA
Gerbillus_pyramidum,Rodentia,0.88,40.9,"Boddy et al., 2012",NA
Giraffa_camelopardalis,Artiodactyla,700,1209000,"Boddy et al., 2012",NA
Glaucomys_sabrinus,Rodentia,3.01,174,"Boddy et al., 2012",NA
Glaucomys_volans,Rodentia,1.71,73.1,"Boddy et al., 2012",NA
Glauconycteris_beatrix,Chiroptera,0.14,5.5,"Jones & MacLarnon, 2004",NA
Glauconycteris_poensis,Chiroptera,0.21,8.6,"Jones & MacLarnon, 2004",NA
Glis_glis,Rodentia,1.9,148,"Boddy et al., 2012",NA
Glischropus_tylopus,Chiroptera,0.1,4.95,"Jones & MacLarnon, 2004",NA
Globicephala_macrorhynchus,Cetacea,2466,386000,"Montgomery et al., 2013",NA
Globicephala_melas,Cetacea,2673,1061000,"Montgomery et al., 2013",NA
Glossophaga_leachii,Chiroptera,0.41,10.1,"Shi et al., 2018","Faurby et al., 2018"
Glossophaga_longirostris,Chiroptera,0.44,11.2,"Jones & MacLarnon, 2004",NA
Glossophaga_morenoi,Chiroptera,0.35,8.4,"Shi et al., 2018","Faurby et al., 2018"
Glossophaga_soricina,Chiroptera,0.41,10.23,"Jones & MacLarnon, 2004",NA
Golunda_ellioti,Rodentia,0.89,80.8,"Burger et al., 2019",NA
Gorilla_beringei,Primates,491.27,130000,"Isler & van Schaik, 2012",NA
Gorilla_gorilla,Primates,454.55,120975,"Boddy et al., 2012",NA
